provincia_iso,sexo,grupo_edad,fecha,num_casos,num_hosp,num_uci,num_def
A,H,60-69,2020-01-01,0,0,0,0
A,H,70-79,2020-01-01,0,0,0,0
A,H,80+,2020-01-01,0,0,0,0
A,M,60-69,2020-01-01,0,0,0,0
A,M,70-79,2020-01-01,0,0,0,0
A,M,80+,2020-01-01,0,0,0,0
A,NC,60-69,2020-01-01,0,0,0,0
A,NC,70-79,2020-01-01,0,0,0,0
A,NC,80+,2020-01-01,0,0,0,0
AB,H,60-69,2020-01-01,0,0,0,0
AB,H,70-79,2020-01-01,0,0,0,0
AB,H,80+,2020-01-01,0,0,0,0
AB,M,60-69,2020-01-01,0,0,0,0
AB,M,70-79,2020-01-01,0,0,0,0
AB,M,80+,2020-01-01,0,0,0,0
AB,NC,60-69,2020-01-01,0,0,0,0
AB,NC,70-79,2020-01-01,0,0,0,0
AB,NC,80+,2020-01-01,0,0,0,0
AL,H,60-69,2020-01-01,0,0,0,0
AL,H,70-79,2020-01-01,0,0,0,0
AL,H,80+,2020-01-01,0,0,0,0
AL,M,60-69,2020-01-01,0,0,0,0
AL,M,70-79,2020-01-01,0,0,0,0
AL,M,80+,2020-01-01,0,0,0,0
AL,NC,60-69,2020-01-01,0,0,0,0
AL,NC,70-79,2020-01-01,0,0,0,0
AL,NC,80+,2020-01-01,0,0,0,0
AV,H,60-69,2020-01-01,0,0,0,0
AV,H,70-79,2020-01-01,0,0,0,0
AV,H,80+,2020-01-01,0,0,0,0
AV,M,60-69,2020-01-01,0,0,0,0
AV,M,70-79,2020-01-01,0,0,0,0
AV,M,80+,2020-01-01,0,0,0,0
AV,NC,60-69,2020-01-01,0,0,0,0
AV,NC,70-79,2020-01-01,0,0,0,0
AV,NC,80+,2020-01-01,0,0,0,0
B,H,60-69,2020-01-01,0,0,0,0
B,H,70-79,2020-01-01,0,0,0,0
B,H,80+,2020-01-01,0,0,0,0
B,M,60-69,2020-01-01,0,0,0,0
B,M,70-79,2020-01-01,0,0,0,0
B,M,80+,2020-01-01,0,0,0,0
B,NC,60-69,2020-01-01,0,0,0,0
B,NC,70-79,2020-01-01,0,0,0,0
B,NC,80+,2020-01-01,0,0,0,0
BA,H,60-69,2020-01-01,0,0,0,0
BA,H,70-79,2020-01-01,0,0,0,0
BA,H,80+,2020-01-01,0,0,0,0
BA,M,60-69,2020-01-01,0,0,0,0
BA,M,70-79,2020-01-01,0,0,0,0
BA,M,80+,2020-01-01,0,0,0,0
BA,NC,60-69,2020-01-01,0,0,0,0
BA,NC,70-79,2020-01-01,0,0,0,0
BA,NC,80+,2020-01-01,0,0,0,0
BI,H,60-69,2020-01-01,0,0,0,0
BI,H,70-79,2020-01-01,0,0,0,0
BI,H,80+,2020-01-01,0,0,0,0
BI,M,60-69,2020-01-01,0,0,0,0
BI,M,70-79,2020-01-01,0,0,0,0
BI,M,80+,2020-01-01,0,0,0,0
BI,NC,60-69,2020-01-01,0,0,0,0
BI,NC,70-79,2020-01-01,0,0,0,0
BI,NC,80+,2020-01-01,0,0,0,0
BU,H,60-69,2020-01-01,0,0,0,0
BU,H,70-79,2020-01-01,0,0,0,0
BU,H,80+,2020-01-01,0,0,0,0
BU,M,60-69,2020-01-01,0,0,0,0
BU,M,70-79,2020-01-01,0,0,0,0
BU,M,80+,2020-01-01,0,0,0,0
BU,NC,60-69,2020-01-01,0,0,0,0
BU,NC,70-79,2020-01-01,0,0,0,0
BU,NC,80+,2020-01-01,0,0,0,0
C,H,60-69,2020-01-01,0,0,0,0
C,H,70-79,2020-01-01,0,0,0,0
C,H,80+,2020-01-01,0,0,0,0
C,M,60-69,2020-01-01,0,0,0,0
C,M,70-79,2020-01-01,0,0,0,0
C,M,80+,2020-01-01,0,0,0,0
C,NC,60-69,2020-01-01,0,0,0,0
C,NC,70-79,2020-01-01,0,0,0,0
C,NC,80+,2020-01-01,0,0,0,0
CA,H,60-69,2020-01-01,0,0,0,0
CA,H,70-79,2020-01-01,0,0,0,0
CA,H,80+,2020-01-01,0,0,0,0
CA,M,60-69,2020-01-01,0,0,0,0
CA,M,70-79,2020-01-01,0,0,0,0
CA,M,80+,2020-01-01,0,0,0,0
CA,NC,60-69,2020-01-01,0,0,0,0
CA,NC,70-79,2020-01-01,0,0,0,0
CA,NC,80+,2020-01-01,0,0,0,0
CC,H,60-69,2020-01-01,0,0,0,0
CC,H,70-79,2020-01-01,0,0,0,0
CC,H,80+,2020-01-01,0,0,0,0
CC,M,60-69,2020-01-01,0,0,0,0
CC,M,70-79,2020-01-01,0,0,0,0
CC,M,80+,2020-01-01,0,0,0,0
CC,NC,60-69,2020-01-01,0,0,0,0
CC,NC,70-79,2020-01-01,0,0,0,0
CC,NC,80+,2020-01-01,0,0,0,0
CE,H,60-69,2020-01-01,0,0,0,0
CE,H,70-79,2020-01-01,0,0,0,0
CE,H,80+,2020-01-01,0,0,0,0
CE,M,60-69,2020-01-01,0,0,0,0
CE,M,70-79,2020-01-01,0,0,0,0
CE,M,80+,2020-01-01,0,0,0,0
CE,NC,60-69,2020-01-01,0,0,0,0
CE,NC,70-79,2020-01-01,0,0,0,0
CE,NC,80+,2020-01-01,0,0,0,0
CO,H,60-69,2020-01-01,0,1,0,0
CO,H,70-79,2020-01-01,0,0,0,0
CO,H,80+,2020-01-01,0,0,0,0
CO,M,60-69,2020-01-01,0,0,0,0
CO,M,70-79,2020-01-01,0,0,0,0
CO,M,80+,2020-01-01,0,0,0,0
CO,NC,60-69,2020-01-01,0,0,0,0
CO,NC,70-79,2020-01-01,0,0,0,0
CO,NC,80+,2020-01-01,0,0,0,0
CR,H,60-69,2020-01-01,0,0,0,0
CR,H,70-79,2020-01-01,0,0,0,0
CR,H,80+,2020-01-01,0,0,0,0
CR,M,60-69,2020-01-01,0,0,0,0
CR,M,70-79,2020-01-01,0,0,0,0
CR,M,80+,2020-01-01,0,0,0,0
CR,NC,60-69,2020-01-01,0,0,0,0
CR,NC,70-79,2020-01-01,0,0,0,0
CR,NC,80+,2020-01-01,0,0,0,0
CS,H,60-69,2020-01-01,0,0,0,0
CS,H,70-79,2020-01-01,0,0,0,0
CS,H,80+,2020-01-01,0,1,0,0
CS,M,60-69,2020-01-01,0,0,0,0
CS,M,70-79,2020-01-01,0,0,0,0
CS,M,80+,2020-01-01,0,0,0,0
CS,NC,60-69,2020-01-01,0,0,0,0
CS,NC,70-79,2020-01-01,0,0,0,0
CS,NC,80+,2020-01-01,0,0,0,0
CU,H,60-69,2020-01-01,0,0,0,0
CU,H,70-79,2020-01-01,0,0,0,0
CU,H,80+,2020-01-01,0,0,0,0
CU,M,60-69,2020-01-01,0,0,0,0
CU,M,70-79,2020-01-01,0,0,0,0
CU,M,80+,2020-01-01,0,0,0,0
CU,NC,60-69,2020-01-01,0,0,0,0
CU,NC,70-79,2020-01-01,0,0,0,0
CU,NC,80+,2020-01-01,0,0,0,0
GC,H,60-69,2020-01-01,0,0,0,0
GC,H,70-79,2020-01-01,0,0,0,0
GC,H,80+,2020-01-01,0,0,0,0
GC,M,60-69,2020-01-01,0,0,0,0
GC,M,70-79,2020-01-01,0,0,0,0
GC,M,80+,2020-01-01,0,0,0,0
GC,NC,60-69,2020-01-01,0,0,0,0
GC,NC,70-79,2020-01-01,0,0,0,0
GC,NC,80+,2020-01-01,0,0,0,0
GI,H,60-69,2020-01-01,0,0,0,0
GI,H,70-79,2020-01-01,0,1,0,0
GI,H,80+,2020-01-01,0,0,0,0
GI,M,60-69,2020-01-01,0,0,0,0
GI,M,70-79,2020-01-01,0,0,0,0
GI,M,80+,2020-01-01,0,0,0,0
GI,NC,60-69,2020-01-01,0,0,0,0
GI,NC,70-79,2020-01-01,0,0,0,0
