provincia_iso,sexo,grupo_edad,fecha,num_hosp,num_uci,num_def
A,H,0-9,2022-03-28,0,0,0
A,H,10-19,2022-03-28,0,0,0
A,H,20-29,2022-03-28,0,0,0
A,H,30-39,2022-03-28,0,0,0
A,H,40-49,2022-03-28,0,0,0
A,H,50-59,2022-03-28,0,0,0
A,H,60-69,2022-03-28,1,0,0
A,H,70-79,2022-03-28,2,0,0
A,H,80+,2022-03-28,7,0,0
A,H,NC,2022-03-28,0,0,0
A,M,0-9,2022-03-28,0,0,0
A,M,10-19,2022-03-28,0,0,0
A,M,20-29,2022-03-28,0,0,0
A,M,30-39,2022-03-28,0,0,0
A,M,40-49,2022-03-28,1,0,0
A,M,50-59,2022-03-28,0,0,0
A,M,60-69,2022-03-28,1,0,0
A,M,70-79,2022-03-28,1,0,0
A,M,80+,2022-03-28,2,0,0
A,M,NC,2022-03-28,0,0,0
A,NC,0-9,2022-03-28,0,0,0
A,NC,10-19,2022-03-28,0,0,0
A,NC,20-29,2022-03-28,0,0,0
A,NC,30-39,2022-03-28,0,0,0
A,NC,40-49,2022-03-28,0,0,0
A,NC,50-59,2022-03-28,0,0,0
A,NC,60-69,2022-03-28,0,0,0
A,NC,70-79,2022-03-28,0,0,0
A,NC,80+,2022-03-28,0,0,0
A,NC,NC,2022-03-28,0,0,0
AB,H,0-9,2022-03-28,0,0,0
AB,H,10-19,2022-03-28,0,0,0
AB,H,20-29,2022-03-28,0,0,0
AB,H,30-39,2022-03-28,1,0,0
AB,H,40-49,2022-03-28,0,0,0
AB,H,50-59,2022-03-28,0,0,0
AB,H,60-69,2022-03-28,0,0,0
AB,H,70-79,2022-03-28,0,0,0
AB,H,80+,2022-03-28,0,0,1
AB,H,NC,2022-03-28,0,0,0
AB,M,0-9,2022-03-28,0,0,0
AB,M,10-19,2022-03-28,0,0,0
AB,M,20-29,2022-03-28,0,0,0
AB,M,30-39,2022-03-28,0,0,0
AB,M,40-49,2022-03-28,0,0,0
AB,M,50-59,2022-03-28,0,0,0
AB,M,60-69,2022-03-28,0,0,0
AB,M,70-79,2022-03-28,0,0,0
AB,M,80+,2022-03-28,1,0,1
AB,M,NC,2022-03-28,0,0,0
AB,NC,0-9,2022-03-28,0,0,0
AB,NC,10-19,2022-03-28,0,0,0
AB,NC,20-29,2022-03-28,0,0,0
AB,NC,30-39,2022-03-28,0,0,0
AB,NC,40-49,2022-03-28,0,0,0
AB,NC,50-59,2022-03-28,0,0,0
AB,NC,60-69,2022-03-28,0,0,0
AB,NC,70-79,2022-03-28,0,0,0
AB,NC,80+,2022-03-28,0,0,0
AB,NC,NC,2022-03-28,0,0,0
AL,H,0-9,2022-03-28,0,0,0
AL,H,10-19,2022-03-28,0,0,0
AL,H,20-29,2022-03-28,0,0,0
AL,H,30-39,2022-03-28,0,0,0
AL,H,40-49,2022-03-28,0,0,0
AL,H,50-59,2022-03-28,0,0,0
AL,H,60-69,2022-03-28,1,0,1
AL,H,70-79,2022-03-28,0,0,0
AL,H,80+,2022-03-28,1,0,0
AL,H,NC,2022-03-28,0,0,0
AL,M,0-9,2022-03-28,0,0,0
AL,M,10-19,2022-03-28,0,0,0
AL,M,20-29,2022-03-28,0,0,0
AL,M,30-39,2022-03-28,0,0,0
AL,M,40-49,2022-03-28,1,0,0
AL,M,50-59,2022-03-28,0,0,0
AL,M,60-69,2022-03-28,0,0,0
AL,M,70-79,2022-03-28,0,0,0
AL,M,80+,2022-03-28,0,0,0
AL,M,NC,2022-03-28,0,0,0
AL,NC,0-9,2022-03-28,0,0,0
AL,NC,10-19,2022-03-28,0,0,0
AL,NC,20-29,2022-03-28,0,0,0
AL,NC,30-39,2022-03-28,0,0,0
AL,NC,40-49,2022-03-28,0,0,0
AL,NC,50-59,2022-03-28,0,0,0
